pmid,concept,label
25479016,sex,Sex / gender
25488753,acr,ACR burden
25488753,hla_mismatch,HLA mismatch
25533723,acr,ACR burden
25651311,age,Age
25651311,cmv_dr,CMV D/R serostatus
25651311,comorbidity,Comorbidity
25651311,ischemic_time,Ischemic time
25651311,pgd,PGD grade
25651311,pre_tx_dsa,Pre-tx DSA / cPRA
25651311,procedure,Single vs bilateral
25651311,sex,Sex / gender
25683785,acr,ACR burden
25683785,colonization,Pseudomonas/Aspergillus colonization
25683785,procedure,Single vs bilateral
25687798,age,Age
25687798,sex,Sex / gender
25707585,age,Age
25707585,bmi,Body mass index
25707585,comorbidity,Comorbidity
25707585,indication_mix,Indication / diagnosis mix
25707585,ischemic_time,Ischemic time
25707585,race_ethnicity,Race / ethnicity
25707585,sex,Sex / gender
25935436,age,Age
25935436,indication_mix,Indication / diagnosis mix
25989360,de_novo_dsa,De novo DSA
25989360,hla_mismatch,HLA mismatch
25989360,indication_mix,Indication / diagnosis mix
26169666,acr,ACR burden
26169666,de_novo_dsa,De novo DSA
26169666,pgd,PGD grade
26169666,pre_tx_dsa,Pre-tx DSA / cPRA
26177087,acr,ACR burden
26177087,age,Age
26177087,indication_mix,Indication / diagnosis mix
26177087,induction,Induction regimen
26177087,ischemic_time,Ischemic time
26186804,acr,ACR burden
26204790,cmv_dr,CMV D/R serostatus
26204790,de_novo_dsa,De novo DSA
26452996,maintenance_is,Maintenance IS
26461171,acr,ACR burden
26461171,pgd,PGD grade
26461171,procedure,Single vs bilateral
26496787,age,Age
26496787,baseline_fev1,Baseline FEV1 method
26496787,bmi,Body mass index
26496787,comorbidity,Comorbidity
26496787,era,Era / accrual window
26496787,hla_mismatch,HLA mismatch
26496787,indication_mix,Indication / diagnosis mix
26496787,induction,Induction regimen
26496787,ischemic_time,Ischemic time
26496787,lung_function,Lung function
26496787,race_ethnicity,Race / ethnicity
26496787,sex,Sex / gender
26517734,acr,ACR burden
26517734,age,Age
26517734,cmv_events,CMV infection/disease events
26517734,comorbidity,Comorbidity
26565010,age,Age
26565010,cmv_dr,CMV D/R serostatus
26565010,era,Era / accrual window
26657575,age,Age
26657575,baseline_fev1,Baseline FEV1 method
26657575,bmi,Body mass index
26657575,lung_function,Lung function
26657575,sex,Sex / gender
26829054,age,Age
26829054,comorbidity,Comorbidity
26829054,era,Era / accrual window
26829054,hla_mismatch,HLA mismatch
26829054,ischemic_time,Ischemic time
26829054,las,Lung allocation score
26829054,maintenance_is,Maintenance IS
26829054,procedure,Single vs bilateral
26829054,race_ethnicity,Race / ethnicity
26829054,sex,Sex / gender
26833657,induction,Induction regimen
26845386,age,Age
26845386,cmv_dr,CMV D/R serostatus
26845386,las,Lung allocation score
26845386,pgd,PGD grade
26967790,age,Age
26967790,de_novo_dsa,De novo DSA
26967790,pre_tx_dsa,Pre-tx DSA / cPRA
26967790,sex,Sex / gender
27002311,acr,ACR burden
27002311,age,Age
27002311,cmv_events,CMV infection/disease events
27002311,de_novo_dsa,De novo DSA
27002311,sex,Sex / gender
27061510,acr,ACR burden
27061510,procedure,Single vs bilateral
27078625,acr,ACR burden
27078625,age,Age
27078625,bmi,Body mass index
27078625,era,Era / accrual window
27078625,las,Lung allocation score
27078625,pgd,PGD grade
27078625,procedure,Single vs bilateral
27078625,sex,Sex / gender
27129023,age,Age
27129023,bmi,Body mass index
27129023,comorbidity,Comorbidity
27129023,ischemic_time,Ischemic time
27129023,las,Lung allocation score
27129023,race_ethnicity,Race / ethnicity
27129023,sex,Sex / gender
27215188,acr,ACR burden
27215188,age,Age
27215188,cmv_events,CMV infection/disease events
27338538,age,Age
27338538,bmi,Body mass index
27338538,cmv_dr,CMV D/R serostatus
27338538,comorbidity,Comorbidity
27338538,hla_mismatch,HLA mismatch
27338538,indication_mix,Indication / diagnosis mix
27338538,sex,Sex / gender
27358780,age,Age
27358780,indication_mix,Indication / diagnosis mix
27358780,sex,Sex / gender
27373824,de_novo_dsa,De novo DSA
27373824,indication_mix,Indication / diagnosis mix
27373824,sex,Sex / gender
27467538,acr,ACR burden
27467538,colonization,Pseudomonas/Aspergillus colonization
27467538,resp_viral,Respiratory viral infections
27493971,hla_mismatch,HLA mismatch
27493971,indication_mix,Indication / diagnosis mix
27664940,acr,ACR burden
27664940,age,Age
27664940,indication_mix,Indication / diagnosis mix
27664940,procedure,Single vs bilateral
27676455,acr,ACR burden
27836956,age,Age
27836956,procedure,Single vs bilateral
27836956,sex,Sex / gender
27893614,age,Age
27893614,procedure,Single vs bilateral
27893614,sex,Sex / gender
27931084,de_novo_dsa,De novo DSA
27931084,maintenance_is,Maintenance IS
27982503,azithromycin,Azithromycin
27982503,sex,Sex / gender
27988981,las,Lung allocation score
27988981,sex,Sex / gender
28185711,gerd,GERD / aspiration
28210278,acr,ACR burden
28210278,cmv_dr,CMV D/R serostatus
28210278,procedure,Single vs bilateral
28244139,age,Age
28244139,sex,Sex / gender
28262440,acr,ACR burden
28262440,pgd,PGD grade
28262440,telomere,Telomere length / workup
28375571,age,Age
28375571,hla_mismatch,HLA mismatch
28375571,indication_mix,Indication / diagnosis mix
28375571,procedure,Single vs bilateral
28375571,race_ethnicity,Race / ethnicity
28375571,sex,Sex / gender
28383790,age,Age
28383790,era,Era / accrual window
28383790,indication_mix,Indication / diagnosis mix
28637080,acr,ACR burden
28662022,acr,ACR burden
28662022,gerd,GERD / aspiration
28686641,acr,ACR burden
28720146,azithromycin,Azithromycin
28720146,maintenance_is,Maintenance IS
28770204,indication_mix,Indication / diagnosis mix
28770204,induction,Induction regimen
28770204,maintenance_is,Maintenance IS
28871078,age,Age
28871078,baseline_fev1,Baseline FEV1 method
28871078,lung_function,Lung function
28871078,sex,Sex / gender
28932229,acr,ACR burden
28932229,age,Age
28932229,cmv_dr,CMV D/R serostatus
28932229,comorbidity,Comorbidity
29087035,acr,ACR burden
29087035,baseline_fev1,Baseline FEV1 method
29146602,age,Age
29146602,indication_mix,Indication / diagnosis mix
29146602,procedure,Single vs bilateral
29146602,sex,Sex / gender
29149977,age,Age
29149977,comorbidity,Comorbidity
29149977,era,Era / accrual window
29149977,indication_mix,Indication / diagnosis mix
29149977,procedure,Single vs bilateral
29151274,acr,ACR burden
29151274,cmv_dr,CMV D/R serostatus
29151274,de_novo_dsa,De novo DSA
29300898,age,Age
29300898,cmv_dr,CMV D/R serostatus
29300898,hla_mismatch,HLA mismatch
29360666,hla_mismatch,HLA mismatch
29360666,sex,Sex / gender
29472146,baseline_fev1,Baseline FEV1 method
29513387,age,Age
29513387,eplet_mm,Eplet / molecular HLA mismatch
29533326,baseline_fev1,Baseline FEV1 method
29603543,cmv_events,CMV infection/disease events
29603543,colonization,Pseudomonas/Aspergillus colonization
29804306,age,Age
29804306,indication_mix,Indication / diagnosis mix
29804306,ischemic_time,Ischemic time
29804306,procedure,Single vs bilateral
29804306,race_ethnicity,Race / ethnicity
29804306,sex,Sex / gender
29929823,maintenance_is,Maintenance IS
29976654,de_novo_dsa,De novo DSA
30053048,age,Age
30053048,maintenance_is,Maintenance IS
30053048,sex,Sex / gender
30126365,acr,ACR burden
30126365,cmv_events,CMV infection/disease events
30126365,colonization,Pseudomonas/Aspergillus colonization
30192029,cmv_dr,CMV D/R serostatus
30211828,acr,ACR burden
30211828,age,Age
30211828,cmv_dr,CMV D/R serostatus
30211828,cmv_events,CMV infection/disease events
30211828,indication_mix,Indication / diagnosis mix
30211828,race_ethnicity,Race / ethnicity
30211828,sex,Sex / gender
30228085,age,Age
30228085,pgd,PGD grade
30228085,procedure,Single vs bilateral
30228085,race_ethnicity,Race / ethnicity
30228085,sex,Sex / gender
30255130,acr,ACR burden
30255130,age,Age
30255130,indication_mix,Indication / diagnosis mix
30255130,maintenance_is,Maintenance IS
30255130,procedure,Single vs bilateral
30255131,acr,ACR burden
30255131,maintenance_is,Maintenance IS
30391193,age,Age
30391193,indication_mix,Indication / diagnosis mix
30391193,sex,Sex / gender
30391371,age,Age
30391371,baseline_fev1,Baseline FEV1 method
30391371,sex,Sex / gender
30476471,cmv_dr,CMV D/R serostatus
30506808,age,Age
30506808,era,Era / accrual window
30506808,las,Lung allocation score
30506808,sex,Sex / gender
30527505,age,Age
30527505,bmi,Body mass index
30527505,las,Lung allocation score
30527505,sex,Sex / gender
30537897,comorbidity,Comorbidity
30537897,induction,Induction regimen
30537897,maintenance_is,Maintenance IS
30537897,procedure,Single vs bilateral
30561555,acr,ACR burden
30561555,cmv_dr,CMV D/R serostatus
30561555,resp_viral,Respiratory viral infections
30645645,era,Era / accrual window
30645645,induction,Induction regimen
30645645,las,Lung allocation score
30645645,sex,Sex / gender
30663812,age,Age
30663812,bmi,Body mass index
30663812,sex,Sex / gender
30692045,acr,ACR burden
30692045,race_ethnicity,Race / ethnicity
30692045,sex,Sex / gender
30705675,age,Age
30793380,acr,ACR burden
30978332,acr,ACR burden
30978332,age,Age
30978332,pgd,PGD grade
30978332,procedure,Single vs bilateral
30978332,sex,Sex / gender
31026404,acr,ACR burden
31026404,age,Age
31026404,cmv_dr,CMV D/R serostatus
31026404,era,Era / accrual window
31026404,indication_mix,Indication / diagnosis mix
31026404,induction,Induction regimen
31026404,las,Lung allocation score
31164432,cmv_dr,CMV D/R serostatus
31164432,hla_mismatch,HLA mismatch
31249568,acr,ACR burden
31249568,indication_mix,Indication / diagnosis mix
31249568,sex,Sex / gender
31271742,age,Age
31271742,bmi,Body mass index
31271742,comorbidity,Comorbidity
31271742,donor_type,Donor type DBD/DCD
31271742,indication_mix,Indication / diagnosis mix
31271742,ischemic_time,Ischemic time
31271742,race_ethnicity,Race / ethnicity
31271742,sex,Sex / gender
31286560,baseline_fev1,Baseline FEV1 method
31286560,sex,Sex / gender
31300191,acr,ACR burden
31300191,age,Age
31300191,cmv_events,CMV infection/disease events
31300191,colonization,Pseudomonas/Aspergillus colonization
31300191,induction,Induction regimen
31300191,maintenance_is,Maintenance IS
31300191,sex,Sex / gender
31397939,age,Age
31397939,cmv_dr,CMV D/R serostatus
31397939,era,Era / accrual window
31397939,indication_mix,Indication / diagnosis mix
31397939,sex,Sex / gender
31414076,acr,ACR burden
31452317,age,Age
31452317,cmv_dr,CMV D/R serostatus
31452317,indication_mix,Indication / diagnosis mix
31452317,pgd,PGD grade
31452317,sex,Sex / gender
31461151,age,Age
31461151,bmi,Body mass index
31461151,center_structure,Center structure
31461151,cmv_dr,CMV D/R serostatus
31461151,comorbidity,Comorbidity
31461151,era,Era / accrual window
31461151,hla_mismatch,HLA mismatch
31461151,induction,Induction regimen
31461151,maintenance_is,Maintenance IS
31461151,procedure,Single vs bilateral
31461151,race_ethnicity,Race / ethnicity
31461151,sex,Sex / gender
31494969,azithromycin,Azithromycin
31494969,baseline_fev1,Baseline FEV1 method
31494969,phenotyping,Phenotyping (BOS/RAS/mixed)
31613800,age,Age
31613800,indication_mix,Indication / diagnosis mix
31613800,procedure,Single vs bilateral
31613800,race_ethnicity,Race / ethnicity
31613800,sex,Sex / gender
31616421,acr,ACR burden
31616421,age,Age
31616421,cmv_events,CMV infection/disease events
31616421,comorbidity,Comorbidity
31696925,age,Age
31696925,comorbidity,Comorbidity
31696925,race_ethnicity,Race / ethnicity
31696925,sex,Sex / gender
31794120,acr,ACR burden
31794120,age,Age
31794120,bmi,Body mass index
31794120,indication_mix,Indication / diagnosis mix
31794120,induction,Induction regimen
31815320,age,Age
31815320,indication_mix,Indication / diagnosis mix
31815320,pgd,PGD grade
31815320,sex,Sex / gender
31821885,donor_type,Donor type DBD/DCD
31903646,maintenance_is,Maintenance IS
32091450,age,Age
32091450,bmi,Body mass index
32091450,sex,Sex / gender
32093612,age,Age
32093612,sex,Sex / gender
32150039,age,Age
32150039,cmv_dr,CMV D/R serostatus
32150039,era,Era / accrual window
32150039,indication_mix,Indication / diagnosis mix
32150039,sex,Sex / gender
32195326,age,Age
32195326,pgd,PGD grade
32195326,procedure,Single vs bilateral
32195326,sex,Sex / gender
32381491,acr,ACR burden
32381491,age,Age
32381491,cmv_events,CMV infection/disease events
32381491,de_novo_dsa,De novo DSA
32381491,era,Era / accrual window
32381491,indication_mix,Indication / diagnosis mix
32381491,procedure,Single vs bilateral
32381491,sex,Sex / gender
32449200,maintenance_is,Maintenance IS
32577419,acr,ACR burden
32577419,age,Age
32577419,era,Era / accrual window
32577419,indication_mix,Indication / diagnosis mix
32577419,las,Lung allocation score
32711032,indication_mix,Indication / diagnosis mix
32711032,pgd,PGD grade
32725047,maintenance_is,Maintenance IS
32725047,procedure,Single vs bilateral
33025592,acr,ACR burden
33025592,age,Age
33025592,cmv_dr,CMV D/R serostatus
33025592,era,Era / accrual window
33025592,indication_mix,Indication / diagnosis mix
33025592,sex,Sex / gender
33041181,era,Era / accrual window
33041181,induction,Induction regimen
33057713,age,Age
33057713,era,Era / accrual window
33057713,induction,Induction regimen
33057713,sex,Sex / gender
33065051,age,Age
33065051,comorbidity,Comorbidity
33065051,ischemic_time,Ischemic time
33065051,las,Lung allocation score
33065051,procedure,Single vs bilateral
33065051,sex,Sex / gender
33129576,age,Age
33129576,indication_mix,Indication / diagnosis mix
33129576,race_ethnicity,Race / ethnicity
33129576,sex,Sex / gender
33146445,age,Age
33146445,baseline_fev1,Baseline FEV1 method
33146445,indication_mix,Indication / diagnosis mix
33146445,sex,Sex / gender
33209382,age,Age
33209382,era,Era / accrual window
33209382,indication_mix,Indication / diagnosis mix
33233857,acr,ACR burden
33233857,age,Age
33233857,indication_mix,Indication / diagnosis mix
33233857,sex,Sex / gender
33460570,acr,ACR burden
33460570,cmv_dr,CMV D/R serostatus
33460570,colonization,Pseudomonas/Aspergillus colonization
33460570,de_novo_dsa,De novo DSA
33460570,indication_mix,Indication / diagnosis mix
33460570,induction,Induction regimen
33460570,maintenance_is,Maintenance IS
33460570,pgd,PGD grade
33460570,resp_viral,Respiratory viral infections
33496558,baseline_fev1,Baseline FEV1 method
33496558,de_novo_dsa,De novo DSA
33506764,acr,ACR burden
33506764,age,Age
33506764,cmv_dr,CMV D/R serostatus
33506764,comorbidity,Comorbidity
33506764,donor_type,Donor type DBD/DCD
33506764,ischemic_time,Ischemic time
33506764,las,Lung allocation score
33506764,pgd,PGD grade
33506764,sex,Sex / gender
33814284,acr,ACR burden
33814284,race_ethnicity,Race / ethnicity
33839934,age,Age
33994181,acr,ACR burden
33994181,indication_mix,Indication / diagnosis mix
33994181,procedure,Single vs bilateral
33994181,sex,Sex / gender
34113715,acr,ACR burden
34113715,cmv_events,CMV infection/disease events
34113715,colonization,Pseudomonas/Aspergillus colonization
34172463,age,Age
34172463,cmv_dr,CMV D/R serostatus
34172463,era,Era / accrual window
34172463,indication_mix,Indication / diagnosis mix
34172463,sex,Sex / gender
34183226,age,Age
34186034,acr,ACR burden
34186034,comorbidity,Comorbidity
34186034,pgd,PGD grade
34215500,age,Age
34215500,cmv_dr,CMV D/R serostatus
34215500,indication_mix,Indication / diagnosis mix
34215500,pgd,PGD grade
34215500,sex,Sex / gender
34226118,cmv_dr,CMV D/R serostatus
34310850,age,Age
34310850,las,Lung allocation score
34319850,age,Age
34319850,bmi,Body mass index
34319850,procedure,Single vs bilateral
34365656,age,Age
34365656,cmv_dr,CMV D/R serostatus
34365656,era,Era / accrual window
34365656,indication_mix,Indication / diagnosis mix
34365656,las,Lung allocation score
34365656,sex,Sex / gender
34384425,age,Age
34384425,colonization,Pseudomonas/Aspergillus colonization
34384425,indication_mix,Indication / diagnosis mix
34384425,ischemic_time,Ischemic time
34384425,sex,Sex / gender
34464505,acr,ACR burden
34464505,pgd,PGD grade
34548197,age,Age
34548197,indication_mix,Indication / diagnosis mix
34548197,sex,Sex / gender
34571454,azithromycin,Azithromycin
34571454,cmv_dr,CMV D/R serostatus
34571454,era,Era / accrual window
34571454,indication_mix,Indication / diagnosis mix
34571454,induction,Induction regimen
34571454,maintenance_is,Maintenance IS
34738249,acr,ACR burden
34738249,amr,AMR
34738249,de_novo_dsa,De novo DSA
34738249,indication_mix,Indication / diagnosis mix
34738249,sex,Sex / gender
34748217,age,Age
34748217,cmv_dr,CMV D/R serostatus
34748217,indication_mix,Indication / diagnosis mix
34748217,sex,Sex / gender
34933798,age,Age
34933798,lung_function,Lung function
34933798,sex,Sex / gender
35187218,acr,ACR burden
35187218,de_novo_dsa,De novo DSA
35187218,pgd,PGD grade
35224623,age,Age
35224623,bmi,Body mass index
35224623,era,Era / accrual window
35224623,hla_mismatch,HLA mismatch
35224623,ischemic_time,Ischemic time
35224623,race_ethnicity,Race / ethnicity
35246990,age,Age
35246990,indication_mix,Indication / diagnosis mix
35246990,sex,Sex / gender
35314097,age,Age
35314097,donor_type,Donor type DBD/DCD
35314097,indication_mix,Indication / diagnosis mix
35314097,procedure,Single vs bilateral
35314097,sex,Sex / gender
35450737,age,Age
35450737,comorbidity,Comorbidity
35450737,donor_type,Donor type DBD/DCD
35450737,era,Era / accrual window
35450737,hla_mismatch,HLA mismatch
35450737,ischemic_time,Ischemic time
35450737,race_ethnicity,Race / ethnicity
35450737,sex,Sex / gender
35634722,acr,ACR burden
35651878,acr,ACR burden
35651878,age,Age
35651878,indication_mix,Indication / diagnosis mix
35651878,procedure,Single vs bilateral
35651878,sex,Sex / gender
35678573,de_novo_dsa,De novo DSA
35678573,donor_type,Donor type DBD/DCD
35678573,pgd,PGD grade
35845547,cmv_dr,CMV D/R serostatus
35845547,comorbidity,Comorbidity
35845547,indication_mix,Indication / diagnosis mix
35864004,age,Age
35864004,bmi,Body mass index
35864004,center_structure,Center structure
35864004,cmv_dr,CMV D/R serostatus
35864004,comorbidity,Comorbidity
35876129,age,Age
35876129,cmv_dr,CMV D/R serostatus
35876129,indication_mix,Indication / diagnosis mix
35876129,sex,Sex / gender
35964254,maintenance_is,Maintenance IS
36028826,acr,ACR burden
36028826,age,Age
36028826,cmv_dr,CMV D/R serostatus
36028826,indication_mix,Indication / diagnosis mix
36028826,sex,Sex / gender
36201668,age,Age
36201668,bmi,Body mass index
36201668,procedure,Single vs bilateral
36201668,sex,Sex / gender
36204183,age,Age
36204183,cmv_dr,CMV D/R serostatus
36204183,pre_tx_dsa,Pre-tx DSA / cPRA
36204183,sex,Sex / gender
36216086,age,Age
36216086,bmi,Body mass index
36216086,cmv_dr,CMV D/R serostatus
36216086,comorbidity,Comorbidity
36216086,evlp,EVLP use
36216086,gerd,GERD / aspiration
36216086,hla_mismatch,HLA mismatch
36216086,indication_mix,Indication / diagnosis mix
36216086,las,Lung allocation score
36216086,pgd,PGD grade
36216086,race_ethnicity,Race / ethnicity
36216086,sex,Sex / gender
36216597,age,Age
36216597,comorbidity,Comorbidity
36216597,donor_type,Donor type DBD/DCD
